gamecode,jornada,date,live,player_id,is_starter,is_playing,team,dorsal,player,jugador,minutes,points,field_goals_made2,field_goals_attempted2,field_goals_made3,field_goals_attempted3,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assistances,steals,turnovers,blocks_favour,blocks_against,fouls_commited,fouls_received,valuation,plusminus,team_name,opp_team_name
3,1,2026-09-24 16:00:00,FALSE,P015151,0,1,HTA,0,"TOPPIN, JACOB",Jacob Toppin,23:15,11,4,5,1,1,0,0,2,1,3,0,2,0,1,0,2,0,14,2,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P015152,0,0,HTA,1,"GERMAN, EUGENE",Eugene German,13:19,8,1,3,2,4,0,0,0,0,0,0,0,1,0,0,1,0,2,-2,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P013402,0,1,HTA,2,"BLAKENEY, ANTONIO",Antonio Blakeney,27:21,11,2,4,2,8,1,1,0,2,2,2,0,1,0,0,1,2,7,1,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P009846,1,1,HTA,3,"BRYANT, ELIJAH",Elijah Bryant,29:11,10,4,5,0,4,2,2,0,2,2,3,0,2,0,0,2,7,13,1,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P004846,0,0,HTA,10,"TIMOR, BAR",Bar Timor,DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P013284,1,0,HTA,12,"WAINRIGHT, ISH",Ish Wainright,16:45,2,1,3,0,2,0,0,2,2,4,1,2,2,1,0,1,1,4,-4,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P002939,0,0,HTA,13,"SATORANSKY, TOMAS",Tomas Satoransky,15:55,0,0,1,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,-15,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P008987,1,0,HTA,16,"LEDAY, ZACH",Zach Leday,12:26,8,1,3,1,2,3,3,1,3,4,0,0,0,0,0,0,4,13,-3,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P011823,0,0,HTA,21,"ODIASE, TAI",Tai Odiase,06:24,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,1,4,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
3,1,2026-09-24 16:00:00,FALSE,P002580,1,1,HTA,22,"MICIC, VASILIJE",Vasilije Micic,26:20,14,2,8,1,5,7,7,0,2,2,3,0,3,0,1,4,5,6,6,HAPOEL IBI TEL AVIV,FC BAYERN MUNICH
