player_ranking,code,name,age,image_url,team_code,team_tv_codes,team_name,team_image_url,games_played,games_started,two_point_attempts_share,three_point_attempts_share,free_throws_attempts_share,two_pointers_made_share,three_pointers_made_share,free_throws_made_share,two_point_rate,three_point_rate,points_from_two_pointers_percentage,points_from_three_pointers_percentage,points_from_free_throws_percentage
1,011157,Johnathan Motley,31,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/94c8ef3f-a59d-44bb-8d91-979ee4e075ec.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,1,1,11.4%,6.9%,0%,5.9%,0%,0%,71.4%,28.6%,100%,0%,0%
2,013929,Rj Cole,27,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONy/692c8bf5-073e-4893-9597-d5dd163f54a0.png,MIL,MIL,Armani Olimpia Milan,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/5c2f0ab6-f86a-4df0-b2f3-f9ab92f7267b.png,1,1,0%,4.3%,0%,0%,0%,0%,0%,100%,0%,0%,0%
3,009754,Jordan Loyd,33,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONz/e404b8ed-9a3b-480e-8b3f-ce49905188b5.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCxM/a844756c-a58d-4666-93b8-48f7337bc79d.png,1,0,7.3%,10%,0%,4.2%,0%,0%,60%,40%,100%,0%,0%
4,014802,Rasheed Bello,23,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONz/0cd10838-d234-40a2-869f-c7edb73fbe8b.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCiezvk/a92d4c3b-9f9c-4163-8a10-bcf8fc15893e.png,1,0,15%,11.5%,0%,13.6%,0%,0%,66.7%,33.3%,100%,0%,0%
4,010391,Nick Weiler-Babb,31,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/0954bf55-4ff8-4a05-986c-2e60f628276d.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,1,0,6.8%,3.4%,0%,0%,0%,0%,75%,25%,0%,0%,0%
6,007990,John Dibartolomeo,35,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOO0/fa17418f-980a-46d6-a5f3-ebd69bebb92d.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,1,0,0%,3.4%,0%,0%,0%,0%,0%,100%,0%,0%,0%
6,014785,Daquan Jeffries,29,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONy/5ac70ca2-f381-409d-9e82-71b78112a0d2.png,BES,BJK,Besiktas Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/b05e3c54-e672-4b31-9f86-c91e9de7715c.png,1,1,0%,3.2%,0%,0%,0%,0%,0%,100%,0%,0%,0%
6,010781,Iffe Lundberg,32,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/63defe93-90f3-4b5d-a197-23a4401c4d63.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,1,1,8.8%,10.3%,13.3%,0%,14.3%,18.2%,50%,50%,0%,60%,40%
6,010431,Jeremy Morgan,31,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONz/86b88bde-0eb8-434c-97c5-1c343473963d.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,1,0,0%,7.7%,0%,0%,0%,0%,0%,100%,0%,0%,0%
6,015085,Keaton Wallace,27,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/e02ac33d-71ab-48ad-a3f9-b80df4096093.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,1,0,5.9%,6.9%,0%,4.8%,0%,0%,50%,50%,100%,0%,0%
