team_ranking,team_code,team_tv_codes,team_name,team_image_url,games_played,effective_field_goal_percentage,true_shooting_percentage,offensive_rebounds_percentage,defensive_rebounds_percentage,rebounds_percentage,assists_to_turnovers_ratio,assists_ratio,turnovers_ratio,two_point_rate,three_point_rate,free_throws_rate,points_from_two_pointers_percentage,points_from_three_pointers_percentage,points_from_free_throws_percentage
1,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,1,47.7%,49.6%,26.8%,57.1%,40.8%,1.1,17.5%,15.7%,40.9%,59.1%,22.7%,33.3%,54.2%,12.5%
2,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCiezvk/a92d4c3b-9f9c-4163-8a10-bcf8fc15893e.png,1,42.4%,47.1%,24.4%,72.2%,46.8%,1.2,14.3%,12.2%,60.6%,39.4%,21.2%,64.7%,17.6%,17.6%
3,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,1,43.8%,47.3%,31.2%,64.9%,45.9%,1.5,18%,12%,60.3%,39.7%,26%,44.2%,39%,16.9%
4,MIL,MIL,Armani Olimpia Milan,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/5c2f0ab6-f86a-4df0-b2f3-f9ab92f7267b.png,1,58.8%,61.4%,21.4%,73.3%,48.3%,1.1,17.9%,16.9%,59.6%,40.4%,19.3%,44.7%,43.4%,11.8%
5,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,1,50%,53.2%,30.3%,82.4%,56.7%,1,17.5%,18.4%,54%,46%,23.8%,56.8%,28.4%,14.9%
6,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,1,50%,52.9%,25%,53.8%,40%,1.6,13.9%,8.5%,73.5%,26.5%,16.2%,64.9%,23.4%,11.7%
7,DUB,DUB,Dubai Basketball,https://media-cdn.incrowdsports.com/1efae090-16e2-4963-ae47-4b94f249c244.png,1,47.1%,51.4%,46.2%,75%,60%,1.1,15.8%,13.9%,58.8%,41.2%,26.5%,43.6%,38.5%,17.9%
8,BAS,KBA,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,1,47.5%,51.4%,35.4%,60.7%,44.7%,2.3,20.4%,9%,45%,55%,18.8%,31.5%,53.9%,14.6%
9,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCxM/a844756c-a58d-4666-93b8-48f7337bc79d.png,1,49.2%,56.9%,29%,72.7%,51.6%,1.3,16%,12%,67.2%,32.8%,41%,58.5%,14.6%,26.8%
10,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,1,60.9%,63.4%,27.3%,71%,48.4%,1.2,14.6%,12.5%,54.7%,45.3%,21.9%,47.2%,40.4%,12.4%
10,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,1,54.8%,60.3%,27.3%,61.1%,44.9%,1.7,19.3%,11.6%,61.9%,38.1%,30.2%,48.8%,31.4%,19.8%
12,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,1,60.3%,62.9%,17.6%,69.7%,43.3%,1.3,19.6%,14.7%,41.4%,58.6%,34.5%,26.2%,57.1%,16.7%
13,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png,1,51.4%,56.2%,38.9%,72.7%,55.1%,0.9,12.8%,13.8%,62.3%,37.7%,18.8%,59.5%,25%,15.5%
14,ULK,FBT,Fenerbahce Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCiezrk/aa39750a-6203-49ee-a87d-edd0c6f0397d.png,1,45.5%,55%,27.8%,75.6%,53.2%,1.4,17.7%,12.8%,62.5%,37.5%,60.7%,53.8%,11.5%,34.6%
15,BES,BJK,Besiktas Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/b05e3c54-e672-4b31-9f86-c91e9de7715c.png,1,62.1%,65.2%,27.3%,55.6%,42%,1.8,21.3%,12%,50%,50%,37.1%,40.4%,41.5%,18.1%
16,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,1,50.8%,55.4%,35.1%,68.8%,54.1%,1.1,16.5%,14.7%,68.3%,31.7%,42.9%,48.2%,28.9%,22.9%
17,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHL/bc3e00b2-fea4-40be-a7ec-1e633129bde3.png,1,55%,60.6%,44.4%,72.7%,58%,1.4,16.3%,11.8%,70%,30%,30%,52.1%,28.1%,19.8%
18,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,1,63.7%,65.8%,26.7%,78.6%,51.7%,2.1,20.8%,9.9%,61.3%,38.7%,29%,50%,35.9%,14.1%
19,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,1,53%,60.1%,42.9%,73.2%,59.2%,0.9,14.7%,15.6%,56.1%,43.9%,33.3%,44%,33%,23.1%
20,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,1,62.5%,69.4%,39.3%,64.6%,55.3%,1.3,18%,13.5%,65.6%,34.4%,43.8%,52.8%,22.6%,24.5%
