team_ranking,team_code,team_tv_codes,team_name,team_image_url,games_played,minutes_played,points_scored,two_pointers_made,two_pointers_attempted,two_pointers_percentage,three_pointers_made,three_pointers_attempted,three_pointers_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks,blocks_against,fouls_commited,fouls_drawn,pir
1,BAS,KBA,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,1,40,106,28,42,66.7%,8,22,36.4%,26,28,92.9%,11,31,42,20,6,15,3,0,16,21,137
2,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,1,40,91,20,37,54.1%,10,29,34.5%,21,22,95.5%,15,30,45,16,10,17,8,2,17,22,119
3,MIL,MIL,Armani Olimpia Milan,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/5c2f0ab6-f86a-4df0-b2f3-f9ab92f7267b.png,1,40,92,23,38,60.5%,11,24,45.8%,13,18,72.2%,8,22,30,21,12,10,4,1,18,20,117
4,BES,BJK,Besiktas Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/b05e3c54-e672-4b31-9f86-c91e9de7715c.png,1,40,96,25,49,51%,9,21,42.9%,19,21,90.5%,16,24,40,18,6,13,0,3,24,26,108
5,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,1,40,83,20,43,46.5%,8,20,40%,19,27,70.4%,13,33,46,18,8,16,6,3,21,26,104
6,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHL/bc3e00b2-fea4-40be-a7ec-1e633129bde3.png,1,40,94,19,31,61.3%,13,31,41.9%,17,23,73.9%,9,20,29,23,5,13,3,0,26,24,103
7,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCiezvk/a92d4c3b-9f9c-4163-8a10-bcf8fc15893e.png,1,40,78,21,35,60%,3,21,14.3%,27,34,79.4%,10,31,41,18,8,13,3,2,19,25,100
8,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,1,40,84,25,43,58.1%,7,26,26.9%,13,13,100%,14,24,38,13,7,14,4,1,18,22,98
9,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,1,40,84,11,24,45.8%,16,34,47.1%,14,20,70%,6,23,29,20,8,15,3,0,20,25,97
10,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCxM/a844756c-a58d-4666-93b8-48f7337bc79d.png,1,40,89,21,35,60%,12,29,41.4%,11,14,78.6%,9,22,31,14,4,12,3,1,19,18,93
10,HTA,HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png,1,40,86,21,39,53.8%,9,24,37.5%,17,19,89.5%,9,22,31,20,10,12,1,4,22,18,93
12,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,1,40,82,24,41,58.5%,4,20,20%,22,25,88%,9,24,33,16,5,12,1,3,18,20,88
13,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,1,40,89,14,36,38.9%,16,44,36.4%,13,15,86.7%,17,17,34,25,9,11,0,3,21,16,86
14,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,1,40,78,17,40,42.5%,10,28,35.7%,14,18,77.8%,18,27,45,17,3,15,5,5,15,17,85
15,DUB,DUB,Dubai Basketball,https://media-cdn.incrowdsports.com/1efae090-16e2-4963-ae47-4b94f249c244.png,1,40,77,25,50,50%,6,18,33.3%,9,11,81.8%,9,21,30,13,5,8,5,5,17,15,76
16,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,1,40,74,21,34,61.8%,7,29,24.1%,11,15,73.3%,10,28,38,19,10,20,0,3,25,20,74
17,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,1,40,76,17,34,50%,11,23,47.8%,9,11,81.8%,6,22,28,17,2,16,1,4,19,18,72
18,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png,1,40,77,17,44,38.6%,10,29,34.5%,13,19,68.4%,15,24,39,21,7,14,3,6,26,22,71
19,ULK,FBT,Fenerbahce Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCiezrk/aa39750a-6203-49ee-a87d-edd0c6f0397d.png,1,40,68,22,40,55%,4,26,15.4%,12,14,85.7%,10,26,36,14,2,12,2,3,25,19,59
20,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,1,40,72,12,27,44.4%,13,39,33.3%,9,15,60%,11,20,31,19,7,17,2,8,22,17,54
