person_code,person_name,jugador,person_alias,person_aliasRaw,person_passportName,person_passportSurname,person_jerseyName,person_abbreviatedName,person_country_code,person_country_name,person_height,person_weight,person_birthDate,code,name,person_twitterAccount,person_instagramAccount,person_facebookAccount,person_isReferee,person_images_1,type,typeName,active,startDate,endDate,order,dorsal,dorsalRaw,position,positionName,lastTeam,externalId,headshot,action,club_code,club_name,club_abbreviatedName,club_editorialName,club_tvCode,club_isVirtual,crest,season_name,season_code,season_alias,season_competitionCode,season_year,season_startDate
005199,"ABROMAITIS, TIM",Tim Abromaitis,Abromaitis,Abromaitis,TIMOTHY JAMES,ABROMAITIS,ABROMAITIS,"Abromaitis, T.",USA,United States of America,203,107,1989-09-17T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-09T14:46:08.587,2027-06-30T00:00:00,0,21,21,3,Center,LA LAGUNA TENERIFE,56340,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/67683f37-ade7-48f4-8323-1e5a3fec8349.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/67683f37-ade7-48f4-8323-1e5a3fec8349.png,TNF,La Laguna Tenerife,LL Tenerife,La Laguna Tenerife,LLT,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/59bf7582-6c0b-4e14-bce6-1380aad90f34.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014861,"AGBO, CHIBUZO",Chibuzo Agbo,"AGBO, CHIBUZO","AGBO, CHIBUZO",CHIBUZO ANTHONY,AGBO,AGBO,NA,NGR,Nigeria,200,96,2001-11-28T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-08T11:41:12.837,2027-06-30T00:00:00,0,11,11,2,Forward,CHOLET BASKET,56008,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/df5b0290-ce63-409e-ac7c-7caa9dad5469.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/df5b0290-ce63-409e-ac7c-7caa9dad5469.png,MAN,Kids&Us Manresa,K&U Manresa,Manresa,MAN,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/06792bed-0383-4de2-80b9-95ecca3fd973.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
010316,"AJINCA, MELVIN",Melvin Ajinca,"AJINCA, MELVIN","AJINCA, MELVIN",MELVIN PIERRE,AJINCA,AJINÇA,"Ajinca, M.",FRA,France,203,97,2004-06-26T00:00:00,FRA,France,,,,FALSE,NA,J,Player,TRUE,2026-09-08T12:05:26.2,2027-06-30T00:00:00,0,8,8,2,Forward,LYON VILLEURBANNE,56035,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/ccdbb53c-5221-4334-ace3-4de0d09965dd.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS3/ccdbb53c-5221-4334-ace3-4de0d09965dd.png,LEM,Le Mans Sarthe Basket,Le Mans Sarthe,Le Mans Sarthe,MSB,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/b8ec3298-5030-4865-8469-722a21b471c3.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
004056,"AKPINAR, ISMET",Ismet Akpinar,Akpinar,Akpinar,ISMET,AKPINAR,AKPINAR,"Akpinar, I.",GER,Germany,193,84,1995-05-22T00:00:00,GER,Germany,ismetakpinar,ismetakpinar/,,FALSE,NA,J,Player,TRUE,2026-09-08T16:21:54.448,2027-06-30T00:00:00,0,5,5,1,Guard,BAHCESEHIR COLLEGE SPORTS CLUB,56216,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS1/8381490d-a9b0-4fbf-9726-63ac1f783b74.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS1/8381490d-a9b0-4fbf-9726-63ac1f783b74.png,BAH,Bahcesehir College Istanbul,Bahcesehir,Bahcesehir,BKS,FALSE,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
007723,"ALDERETE, HECTOR",Hector Alderete,"ALDERETE, HECTOR","ALDERETE, HECTOR",HECTOR,ALDERETE DIAZ,ALDERETE,"Alderete, H.",ESP,Spain,203,92,2002-03-06T00:00:00,ESP,Spain,,,NA,FALSE,NA,J,Player,TRUE,2026-09-08T11:57:41.921,2027-06-30T00:00:00,0,33,33,2,Forward,LA LAGUNA TENERIFE,56026,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/4123cc4d-be0d-4d9a-9cf2-13ed41374fd3.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/4123cc4d-be0d-4d9a-9cf2-13ed41374fd3.png,TNF,La Laguna Tenerife,LL Tenerife,La Laguna Tenerife,LLT,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/59bf7582-6c0b-4e14-bce6-1380aad90f34.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
011973,"ALEXANDER, KYLE",Kyle Alexander,"ALEXANDER, KYLE","ALEXANDER, KYLE",KYLE JOHN SOLOMON,ALEXANDER,ALEXANDER,,CAN,Canada,208,98,1996-10-21T00:00:00,CAN,Canada,,,,FALSE,NA,J,Player,TRUE,2026-09-08T12:42:08.371,2027-06-30T00:00:00,0,8,8,3,Center,TURK TELECOM,56074,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOO0/53e97977-f93c-47df-bd61-1f2a4f34ee2a.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOO0/53e97977-f93c-47df-bd61-1f2a4f34ee2a.png,PAO,PAOK Thessaloniki,PAOK,PAOK,PBC,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/0506e7c4-ec4b-460a-bc59-b033ad9e336c.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
004469,"ALIBEGOVIC, AMAR",Amar Alibegovic,"ALIBEGOVIC, A.","ALIBEGOVIC, A.",AMAR,ALIBEGOVIC,ALIBEGOVIC,"Alibegovic, A.",BIH,Bosnia and Herzegovina,205,105,1995-03-31T00:00:00,USA,United States of America,Amar7Alibegovic,ace_0107,,FALSE,NA,J,Player,TRUE,2026-09-08T13:13:10.178,2027-06-30T00:00:00,0,7,7,2,Forward,COVIRAN GRANADA,56110,NA,NA,TRT,Baglietto Derthona Tortona,Derthona,Derthona,DER,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnONv/4976fa46-8eb4-471c-b6dd-4704866c5769.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
015011,"ALIBEGOVIC, MIRZA",Mirza Alibegovic,"ALIBEGOVIC, MIRZA","ALIBEGOVIC, MIRZA",MIRZA,ALIBEGOVIC,ALIBEGOVIC,NA,ITA,Italy,195,95,1992-09-25T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-09T11:27:02.129,2027-06-30T00:00:00,0,5,5,1,Guard,APU UDINE,56301,NA,NA,MRO,Maxima Roma,Maxima Roma,Maxima Roma,RMA,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/f1547a87-c0bf-41ab-bf7e-a0001649430d.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
015039,"ALIPIEV, IVAN",Ivan Alipiev,"ALIPIEV, IVAN","ALIPIEV, IVAN",IVAN,ALIPIEV,ALIPIEV,NA,BUL,Bulgaria,204,98,1999-07-28T00:00:00,BUL,Bulgaria,,,,FALSE,NA,J,Player,TRUE,2026-09-09T16:42:20.722,2027-06-30T00:00:00,0,35,35,2,Forward,RINASCITA BASKET RIMINI,56390,NA,NA,BLK,Balkan Botevgrad,Balkan,Balkan,BLK,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/ba6e2d99-3ea9-4730-a0ce-830cccca4657.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
014858,"ALLEN, TIMMY",Timmy Allen,"ALLEN, TIMMY","ALLEN, TIMMY",TIMOTHY ZEUS,ALLEN,ALLEN,NA,USA,United States of America,198,95,2000-01-09T00:00:00,USA,United States of America,,,,FALSE,NA,J,Player,TRUE,2026-09-08T11:41:10.721,2027-06-30T00:00:00,0,0,0,2,Forward,PAOK THESSALONIKI,56000,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/fa5eab3e-447f-4eee-9a79-bd7f0273ea6b.png,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCjnOS4/fa5eab3e-447f-4eee-9a79-bd7f0273ea6b.png,MAN,Kids&Us Manresa,K&U Manresa,Manresa,MAN,FALSE,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/06792bed-0383-4de2-80b9-95ecca3fd973.png,EuroCup 2026-27,U2026,2026-27,U,2026,2026-07-01T00:00:00
